index,車両本体価格(万円),走行距離(km),車歴,修復歴,保証,ハイブリッド,車検,色,都道府県,店舗
1615,317.7,21000,3,0,1,1,1,真珠,香川県,ＷＥＣＡＲＳ（ウィーカーズ） 宇多津店
1616,135.4,56000,10,0,1,0,1,黒Ｍ,埼玉県,埼玉トヨペット Ｕ－ｃａｒランド一平　川越店
1617,395.9,10,1,0,1,1,1,真珠白,千葉県,ＳＵＶ　ＬＡＮＤ 船橋習志野
1618,169.8,34000,9,0,1,0,1,白真珠,愛知県,ガリバー 岡崎店
1619,156.6,48000,9,0,1,0,1,黒Ｍ,愛知県,ＮＴＰ名古屋トヨペット（株） オレンジタウン２４８店
1620,218.1,52000,7,0,1,1,1,真珠,茨城県,ＷＥＣＡＲＳ（ウィーカーズ） 水戸店
1621,359.9,40,1,0,1,1,1,薄茶,茨城県,ネクステージ 水戸南店
1622,203.8,36000,7,0,1,0,1,黒Ｍ,三重県,（株）ホンダ四輪販売三重北 ヴァーサス四日市日永店
1623,116.1,75000,10,0,1,0,1,黒Ｍ,愛知県,トヨタカローラ愛知（株） 一宮マイカーセンター
1624,331.7,6000,3,0,1,1,1,黒,大阪府,ＷＥＣＡＲＳ（ウィーカーズ） 二色の浜店
1625,363.6,10,0,0,1,1,1,真珠Ｍ,兵庫県,ＷＥＣＡＲＳ（ウィーカーズ） 加古川店
1626,225,24000,6,0,1,0,1,青灰,愛知県,ＮＴＰ名古屋トヨペット（株） 三河安城店
1627,349.9,20000,2,0,1,1,1,真珠Ｍ,埼玉県,株式会社ｗｉｔｈ　ｌｅａｐｓ【ＪＵ適正販売店】
1628,206.8,34000,6,0,1,0,1,真珠Ｍ,愛知県,ＮＴＰ名古屋トヨペット（株） Ｕ－Ｃａｒプラザ１００　一宮インター店
1629,189.6,44000,7,0,1,0,1,真珠Ｍ,大阪府,トヨタカローラ南海（株） 諏訪森プラザ
1630,179.4,73000,5,0,1,0,1,黒Ｍ,愛知県,トヨタカローラ愛知（株） 碧南マイカーセンター
