index,車両本体価格(万円),走行距離(km),車歴,修復歴,保証,ハイブリッド,車検,都道府県
1036,219.8,47000,6,0,1,1,1,大阪府
1037,108,101000,10,0,1,1,1,愛知県
1038,269.8,15000,3,0,1,0,1,愛知県
1039,185.9,70000,7,0,1,1,1,鹿児島県
1040,119.9,48000,11,0,1,0,1,愛知県
1041,119.9,95000,11,0,1,1,1,愛知県
1042,258.7,45,1,0,1,1,1,愛知県
1043,273.9,40000,4,0,1,1,1,三重県
1044,280.1,13000,3,0,1,1,1,長野県
1045,309.8,8000,2,0,1,1,1,岡山県
1046,279.6,40000,3,0,1,1,1,栃木県
1047,159.4,72000,8,0,1,1,1,神奈川県
1048,173.3,33000,9,0,1,1,1,愛知県
1049,228,30000,4,1,1,0,1,兵庫県
1050,218.6,71000,4,0,1,0,1,栃木県
1051,284.8,35000,4,0,1,1,1,岡山県
1052,286.6,22000,3,0,1,1,1,埼玉県
1053,196.8,42000,7,0,1,0,1,山口県
1054,139.7,40000,10,0,1,0,1,愛知県
1055,218.8,57000,5,0,1,1,1,大阪府
1056,139.8,73000,9,0,1,0,1,千葉県
1057,201.8,20000,7,0,1,0,1,埼玉県
1058,305.9,15000,3,0,1,1,1,千葉県
1059,175.8,68000,8,0,1,1,1,岐阜県
1060,277.9,49000,3,0,1,1,1,愛知県
1061,319.8,6000,2,0,1,1,1,埼玉県
1062,235.7,2000,5,0,1,1,1,大阪府
1063,205.9,8000,7,0,1,0,1,兵庫県
1064,139.8,50000,10,0,1,0,1,東京都
1065,291.5,20000,3,0,1,1,1,岡山県
1066,208.9,40000,5,0,1,1,1,栃木県
1067,174.9,74000,7,0,1,1,1,滋賀県
1068,309.8,3000,1,0,1,1,1,大阪府
1069,296.3,39000,4,0,1,1,1,三重県
1070,163.8,40000,9,0,1,0,1,三重県
1071,234.9,34000,5,0,1,1,1,千葉県
1072,135.5,81000,8,0,1,0,1,愛知県
1073,228.7,32000,6,0,1,1,1,大阪府
1074,250.8,54000,3,0,1,0,1,岐阜県
1075,258.8,29000,4,0,1,0,1,静岡県
1076,294.4,35000,3,0,1,1,1,福岡県
1077,286.8,39000,4,0,1,1,1,愛知県
1078,103,96000,11,0,1,0,1,広島県
1079,128.1,72000,11,0,1,1,1,愛知県
1080,146.3,97000,8,0,1,1,1,長崎県
1081,309.9,7,1,0,1,1,1,滋賀県
1082,298.3,26000,2,0,1,1,1,岐阜県
1083,94.6,137000,7,0,1,0,1,愛知県
1084,277.8,21000,3,0,1,0,1,大阪府
1085,329.9,5,1,0,1,1,1,愛媛県
1086,194.6,28000,5,0,1,0,1,京都府
1087,197.8,34000,8,0,1,1,1,佐賀県
1088,317.2,12000,2,0,1,1,1,栃木県
1089,325.4,23000,2,0,1,1,1,北海道
1090,169.9,54000,8,0,1,0,1,大阪府
1091,310.7,6000,2,0,1,1,1,奈良県
1092,195.6,32000,7,0,1,1,1,京都府
1093,286.3,11000,3,0,1,0,1,埼玉県
1094,259.8,34000,3,0,1,0,1,宮城県
1095,199.9,25000,7,0,1,1,1,福岡県
1096,139.7,70000,10,0,1,1,1,愛知県
1097,135.8,74000,9,0,1,0,1,兵庫県
1098,297.8,29000,3,0,1,1,1,愛知県
1099,299.3,22000,2,0,1,1,1,大阪府
1100,334.9,11000,2,0,1,1,1,佐賀県
1101,303.8,29000,3,0,1,1,1,奈良県
1102,183.3,59000,5,0,1,0,1,大阪府
1103,198.8,56000,5,0,1,0,1,千葉県
1104,189.8,53000,8,0,1,1,1,兵庫県
1105,200,38000,7,0,1,1,1,福岡県
1106,133.7,61000,8,1,1,0,1,長崎県
1107,301.5,23000,3,0,1,1,1,熊本県
1108,107.9,93000,10,0,1,0,1,滋賀県
1109,127,62000,11,0,1,0,1,佐賀県
1110,246.3,45000,4,0,1,0,1,愛知県
1111,211.8,39000,5,0,1,0,1,愛知県
1112,149.8,34000,10,0,1,0,1,埼玉県
1113,329.9,16,1,0,1,1,1,福井県
1114,178.8,53000,8,0,1,0,1,三重県
1115,276.8,17000,3,0,1,0,1,東京都
1116,293.8,25000,4,0,1,1,1,愛知県
1117,322.1,10000,2,0,1,1,1,大阪府
1118,294.9,32000,4,0,1,1,1,群馬県
1119,180.8,51000,8,0,1,0,1,福岡県
1120,314.9,18000,2,0,1,1,1,兵庫県
1121,114.1,57000,11,0,1,0,1,愛知県
1122,312.8,12000,2,0,1,1,1,石川県
1123,179.9,68000,6,0,1,0,1,岡山県
1124,154.9,64000,8,0,1,0,1,愛知県
1125,328.7,35000,3,0,1,1,1,北海道
1126,169.5,30000,8,0,1,0,1,大阪府
1127,137.8,42000,10,0,1,0,1,大阪府
1128,312.6,15000,1,0,1,1,1,三重県
1129,209.9,44000,7,0,1,1,1,岡山県
1130,199.9,28000,5,0,1,0,1,兵庫県
1131,219.7,34000,5,0,1,1,1,愛知県
1132,278.8,28000,4,0,1,0,1,静岡県
1133,257.6,20,1,0,1,1,1,兵庫県
1134,139.7,30000,10,0,1,0,1,愛知県
1135,309.9,29000,2,0,1,1,1,福島県
1136,300,8,1,0,1,0,1,愛知県
1137,222.9,39000,5,0,1,0,1,宮城県
1138,179.9,43000,8,0,1,1,1,兵庫県
1139,218.9,35000,5,0,1,0,1,茨城県
1140,251,16000,4,0,1,1,1,愛知県
1141,328.8,5,1,0,1,1,1,長野県
1142,248.9,17000,4,0,1,1,1,神奈川県
1143,109,71000,10,0,1,0,1,愛知県
1144,204.5,54000,5,0,1,1,1,佐賀県
1145,324.8,3000,1,0,1,1,1,石川県
1146,322.1,9000,1,0,1,1,1,兵庫県
1147,146.8,35000,10,0,1,0,1,宮城県
1148,194,50000,4,0,1,0,1,愛知県
1149,272.8,17000,3,0,1,1,1,埼玉県
1150,313,21000,3,0,1,1,1,滋賀県
1151,265.2,26000,4,0,1,0,1,熊本県
1152,184.7,26000,7,0,1,0,1,大阪府
1153,169.2,85000,7,0,1,1,1,茨城県
1154,308.5,24000,3,0,1,1,1,埼玉県
1155,153.9,86000,8,0,1,1,1,兵庫県
1156,349.8,10,1,0,1,1,1,神奈川県
1157,349.8,9,1,0,1,1,1,神奈川県
1158,349.8,10,1,0,1,1,1,神奈川県
1159,307.9,27000,2,0,1,1,1,愛知県
1160,264.8,27000,3,0,1,0,1,愛知県
1161,197.8,51000,6,0,1,1,1,福岡県
1162,223.7,36000,5,0,1,0,1,愛知県
1163,307.9,12000,3,0,1,1,1,茨城県
1164,274.9,22000,4,0,1,0,1,愛知県
